Date,Followers
2018-01-24-00-00-04,257
2018-01-24-02-00-04,257
2018-01-24-04-00-04,257
2018-01-24-06-00-03,257
2018-01-24-08-00-03,258
2018-01-24-10-00-03,258
2018-01-24-12-00-03,259
2018-01-24-14-00-03,259
2018-01-24-16-00-03,260
2018-01-24-18-00-03,260
2018-01-24-20-00-02,262
2018-01-24-22-00-03,263
2018-01-25-00-00-04,263
2018-01-25-02-00-03,263
2018-01-25-04-00-03,264
2018-01-25-06-00-03,264
2018-01-25-08-00-04,264
2018-01-25-10-00-03,264
2018-01-25-12-00-04,265
2018-01-25-14-00-02,265
2018-01-25-16-00-02,265
2018-01-25-18-00-03,265
2018-01-25-20-00-02,265
2018-01-25-22-00-04,265
2018-01-26-00-00-04,266
2018-01-26-02-00-03,267
2018-01-26-04-00-03,267
2018-01-26-06-00-03,267
2018-01-26-08-00-03,267
2018-01-26-10-00-02,268
2018-01-26-12-00-02,268
2018-01-26-14-00-04,268
2018-01-26-16-00-03,268
2018-01-26-18-00-02,268
2018-01-26-18-17-01,268
2018-01-26-20-00-03,268
2018-01-26-22-00-03,269
2018-01-27-00-00-02,269
2018-01-27-02-00-04,270
2018-01-27-04-00-03,270
2018-01-27-06-00-04,269
2018-01-27-08-00-03,270
2018-01-27-10-00-03,271
2018-01-27-12-00-04,271
2018-01-27-14-00-02,271
2018-01-27-16-00-03,271
2018-01-27-18-00-04,272
2018-01-27-20-00-03,272
2018-01-27-22-00-03,272
2018-01-28-00-00-04,272
2018-01-28-02-00-03,273
2018-01-28-04-00-02,273
2018-01-28-06-00-03,275
2018-01-28-08-00-03,276
2018-01-28-10-00-03,276
2018-01-28-12-00-04,276
2018-01-28-14-00-03,276
2018-01-28-16-00-04,276
2018-01-28-18-00-17,276
2018-01-29-00-00-12,276
2018-01-29-02-00-08,276
2018-01-29-08-00-12,277
2018-01-29-12-00-33,277
2018-01-29-16-00-13,278
2018-01-29-22-00-13,279
2018-01-30-00-00-10,279
2018-01-30-02-00-10,279
2018-01-30-06-00-17,279
2018-01-30-14-00-17,279
2018-01-30-20-00-16,280
2018-01-31-02-00-12,279
2018-01-31-04-00-13,279
2018-01-31-06-00-12,277
2018-01-31-10-00-09,280
2018-01-31-12-00-20,281
2018-01-31-16-00-11,281
2018-02-01-12-00-24,283
2018-02-01-14-00-16,284
2018-02-01-18-00-25,285
2018-02-01-20-00-17,286
2018-02-02-00-00-25,286
2018-02-02-02-00-15,286
2018-02-02-08-00-18,287
2018-02-02-12-00-32,288
2018-02-02-16-00-31,288
2018-02-02-18-00-25,289
2018-02-02-20-00-17,290
2018-02-02-22-00-35,291
2018-02-03-02-00-23,291
2018-02-03-10-00-21,292
2018-02-03-14-00-22,292
2018-02-03-16-00-21,292
2018-02-03-18-00-26,293
2018-02-03-20-00-25,293
2018-02-04-00-00-25,294
2018-02-04-02-00-14,294
2018-02-04-06-00-11,298
2018-02-04-10-00-26,302
2018-02-04-12-00-24,305
2018-02-04-14-00-30,305
2018-02-04-16-00-23,305
2018-02-04-18-00-12,305
2018-02-05-00-00-20,304
2018-02-05-02-00-25,304
2018-02-05-04-00-15,305
2018-02-05-10-00-46,305
2018-02-05-14-00-12,306
2018-02-05-16-00-16,308
2018-02-05-20-00-15,308
2018-02-06-00-00-11,308
2018-02-06-06-00-14,308
2018-02-06-10-00-15,309
2018-02-06-12-00-30,310
2018-02-06-14-00-43,311
2018-02-06-20-00-18,312
2018-02-07-00-00-21,312
2018-02-07-02-00-15,312
2018-02-07-08-00-41,313
2018-02-07-10-00-23,313
2018-02-07-14-00-21,318
2018-02-07-16-00-16,317
2018-02-07-18-00-18,318
2018-02-07-20-00-26,319
2018-02-07-22-00-18,319
2018-02-08-00-00-32,319
2018-02-08-02-00-27,318
2018-02-08-06-00-22,318
2018-02-08-08-00-42,319
2018-02-08-10-00-14,319
2018-02-08-12-00-16,321
2018-02-08-16-00-17,322
2018-02-08-18-00-18,322
2018-02-08-20-00-20,322
2018-02-08-22-00-31,322
2018-02-09-00-00-17,323
2018-02-09-04-00-27,324
2018-02-09-16-00-19,329
2018-02-09-18-00-34,329
2018-02-09-20-00-33,329
2018-02-09-22-00-11,329
2018-02-10-00-00-28,329
2018-02-10-02-00-25,329
2018-02-10-06-00-10,331
2018-02-10-08-00-23,336
2018-02-10-10-00-23,343
2018-02-10-14-00-14,344
2018-02-10-16-00-12,346
2018-02-10-18-00-23,349
2018-02-10-20-00-35,352
2018-02-10-22-00-27,352
2018-02-11-00-00-31,353
2018-02-11-02-00-20,356
2018-02-11-06-00-13,358
2018-02-11-10-00-24,360
2018-02-11-14-00-23,361
2018-02-11-16-00-11,368
2018-02-11-20-00-18,370
2018-02-11-22-00-15,370
2018-02-12-00-00-14,371
2018-02-12-04-00-13,372
2018-02-12-06-00-17,373
2018-02-12-08-00-18,373
2018-02-12-10-00-18,373
2018-02-12-12-00-29,373
2018-02-12-14-00-17,375
2018-02-12-18-00-15,377
2018-02-13-00-00-17,380
